trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
25816491,2019-12-03 20:08:48,2019-12-03 20:18:33,151,584.0,33,State St & Van Buren St,21,Aberdeen St & Jackson Blvd,Subscriber,Male,1993.0
25810239,2019-12-03 08:03:03,2019-12-03 08:09:01,5615,357.0,53,Wells St & Huron St,125,Rush St & Hubbard St,Subscriber,Male,1993.0
25816686,2019-12-03 20:53:14,2019-12-03 20:56:49,2338,215.0,133,Kingsbury St & Kinzie St,111,Sedgwick St & Huron St,Subscriber,Male,1993.0
25815608,2019-12-03 18:18:15,2019-12-03 18:24:14,77,359.0,109,900 W Harrison St,320,Loomis St & Lexington St,Subscriber,Male,1995.0
25813662,2019-12-03 16:34:48,2019-12-03 17:00:17,3020,"1,528.0",81,Daley Center Plaza,4,Burnham Harbor,Subscriber,Female,1965.0
25809985,2019-12-03 07:47:06,2019-12-03 07:53:39,3020,392.0,212,Wells St & Hubbard St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1980.0
25814153,2019-12-03 17:01:00,2019-12-03 17:11:44,3469,643.0,53,Wells St & Huron St,77,Clinton St & Madison St,Subscriber,Male,1970.0
25813464,2019-12-03 16:18:51,2019-12-03 16:34:20,4338,928.0,191,Canal St & Monroe St,35,Streeter Dr & Grand Ave,Subscriber,Male,1985.0
25815736,2019-12-03 18:29:02,2019-12-03 18:30:43,5830,101.0,426,Ellis Ave & 60th St,328,Ellis Ave & 58th St,Subscriber,Male,2001.0
25814456,2019-12-03 17:14:03,2019-12-03 17:25:21,1528,677.0,283,LaSalle St & Jackson Blvd,74,Kingsbury St & Erie St,Subscriber,Male,1988.0
25822065,2019-12-04 16:17:39,2019-12-04 16:21:21,5404,221.0,210,Ashland Ave & Division St,130,Damen Ave & Division St,Subscriber,Female,1990.0
25822190,2019-12-04 16:25:46,2019-12-04 16:32:43,3826,416.0,596,Benson Ave & Church St,600,Dodge Ave & Church St,Subscriber,Male,1954.0
25818434,2019-12-04 07:57:21,2019-12-04 08:11:44,955,862.0,394,Clark St & 9th St (AMLI),233,Sangamon St & Washington Blvd,Subscriber,Male,1962.0
25819077,2019-12-04 08:29:55,2019-12-04 08:34:57,5852,302.0,91,Clinton St & Washington Blvd,56,Desplaines St & Kinzie St,Subscriber,Male,1963.0
25817241,2019-12-04 05:48:38,2019-12-04 05:59:18,4058,639.0,107,Desplaines St & Jackson Blvd,31,Franklin St & Chicago Ave,Subscriber,Male,1991.0
25819907,2019-12-04 09:39:02,2019-12-04 09:45:29,1968,387.0,290,Kedzie Ave & Palmer Ct,185,Stave St & Armitage Ave,Subscriber,Male,1989.0
25823981,2019-12-04 17:59:15,2019-12-04 18:07:37,6631,502.0,53,Wells St & Huron St,91,Clinton St & Washington Blvd,Subscriber,Female,1992.0
25817149,2019-12-04 04:51:30,2019-12-04 04:58:00,6051,389.0,138,Clybourn Ave & Division St,53,Wells St & Huron St,Subscriber,Female,1981.0
25819727,2019-12-04 09:12:25,2019-12-04 09:20:35,6100,489.0,31,Franklin St & Chicago Ave,180,Ritchie Ct & Banks St,Subscriber,Male,1988.0
25817272,2019-12-04 05:56:51,2019-12-04 06:11:51,4913,900.0,374,Western Ave & Walton St,56,Desplaines St & Kinzie St,Subscriber,Male,1992.0
